股票名稱,股票代號,總投入成本,扣除股息成本,扣除賣出成本,目前市價,剩餘股數,剩餘庫存目前市值,目前總獲利,每股成本,年報酬率,市值比重
Mao Bao INC,1732,-218186.39,-218186.39,5946.234999999986,26.35,0,0,5946.234999999986,0,0.0054506012038605944,0
Taiwan Glass Ind Corp,1802,-63254.036,-63254.036,9464.549000000006,71.9,0,0,9464.549000000006,0,0.02992551811239367,0
Chung Hwa Pulp Corp,1905,-100836.14125,-100836.14125,10981.134999999995,11.95,0,0,10981.134999999995,0,0.021780157121988233,0
China Steel Corp,2002,-246810.843,-233230.843,8433.934000000008,19.1,0,0,8433.934000000008,0,0.006834330208093822,0
TSRC Corp,2103,-429767.137,-418017.137,-11789.206000000006,19.05,0,0,-11789.206000000006,0,-0.00391880192950697,0
Cheng Shin Rubber Ind. Co Ltd,2105,-51043.605,-51043.605,6234.732499999998,32.4,0,0,6234.732499999998,0,0.024429044539467766,0
United Microelectronics Corp,2303,-283542.2215,-283542.2215,10669.20425000001,144.5,0,0,10669.20425000001,0,0.006271378911141581,0
Compal Electronics Inc,2324,-125357.08875,-125357.08875,-17275.356249999997,36.7,0,0,-17275.356249999997,0,-0.027561833833669013,0
Taiwan Semiconductor Manufacturng Co Ltd,2330,-662566.01,-662566.01,-662566.01,2355,300,703776.4425,41210.432499999995,2208.5533666666665,0.062198229124370556,0.030139299876648575
Macronix International Co Ltd,2337,-134014.4845,-134014.4845,-13979.011999999988,166.5,0,0,-13979.011999999988,0,-0.017384951649262445,0
Synnex Technology International Corp,2347,-69859.679,-69859.679,15808.790999999997,85.9,0,0,15808.790999999997,0,0.037715582689694285,0
Qisda Corp,2352,-2792104.150459999,-2622015.150459999,-1883595.0154599992,28.9,44160,1271304.15648,-612290.8589799993,36.73821250605262,-0.07309790107926602,0.05444373368121153
